Episode,Episode-Reward,Total-Reward,ActionAVG,Q-Value,LinesCleared
320,22.65,8350.85,2.96,22.75749,0

321,33.9,8384.75,2.02,22.75706,0

322,22.5,8407.25,1.82,22.50022,0

323,64.15,8471.4,2.63,23.2383,0

324,49.35,8520.75,1.91,23.47732,0

325,71.1,8591.85,1.88,24.15192,1

326,54.9,8646.75,2.8,24.31025,0

327,15.7,8662.45,1.81,23.55095,0

328,32.25,8694.7,1.56,23.33486,0

329,70.0,8764.7,2.0,24.01677,0

330,28.55,8793.25,1.7,23.61263,0

331,41.75,8835.0,2.9,23.59642,0

332,53.9,8888.9,2.08,23.85723,0

333,35.35,8924.25,2.78,23.64198,0

334,33.3,8957.55,2.04,23.42904,0

335,32.6,8990.15,2.74,23.24826,0

336,35.15,9025.3,1.88,23.16553,0

337,40.95,9066.25,2.17,23.23192,0

338,30.75,9097.0,2.94,23.05387,0

339,39.9,9136.9,1.51,23.12175,0

340,21.0,9157.9,2.32,22.74911,0

341,23.1,9181.0,2.56,22.50757,0

342,49.25,9230.25,1.95,22.90874,0

343,34.1,9264.35,2.29,22.87878,0

344,34.35,9298.7,1.58,22.86119,0

345,20.2,9318.9,2.26,22.52917,0

346,33.25,9352.15,2.76,22.56549,0

347,61.95,9414.1,2.54,23.23939,0

348,8.9,9423.0,3.44,22.56803,0

349,26.6,9449.6,1.57,22.44598,0

350,24.1,9473.7,2.27,22.29514,0

351,36.05,9509.75,2.08,22.44711,0

352,58.5,9568.25,3.2,23.07002,0

353,39.3,9607.55,1.22,23.12077,0

354,40.7,9648.25,2.71,23.1916,0

355,23.15,9671.4,2.81,22.85162,0

356,9.0,9680.4,2.85,22.26976,0

357,34.65,9715.05,2.94,22.39594,0

358,23.3,9738.35,2.59,22.23836,0

359,35.35,9773.7,2.04,22.38736,0

360,45.95,9819.65,1.69,22.74133,0

361,26.8,9846.45,2.83,22.58479,0

362,39.45,9885.9,2.83,22.74809,0

363,8.45,9894.35,2.81,22.17715,0

364,25.15,9919.5,3.58,22.11042,0

365,26.9,9946.4,1.19,21.77217,0

366,41.0,9987.4,2.54,21.82728,0

367,42.6,10030.0,2.37,21.90598,0

368,62.45,10092.45,2.13,22.41361,0

369,21.0,10113.45,2.09,21.87439,0

370,45.9,10159.35,2.25,22.01675,0

371,41.3,10200.65,3.26,22.02357,0

372,52.25,10252.9,2.01,22.27524,0

373,18.15,10271.05,2.09,21.70303,0

374,49.55,10320.6,3.14,21.96607,0

375,51.15,10371.75,2.31,22.20592,0

376,58.55,10430.3,2.02,22.55831,0

377,47.4,10477.7,2.07,22.58053,0

378,41.3,10519.0,2.48,22.46051,0

379,35.95,10554.95,1.97,22.24711,0

380,34.3,10589.25,1.62,22.04461,0

381,53.85,10643.1,2.03,22.32754,0

382,21.35,10664.45,2.86,21.81556,0

383,36.75,10701.2,2.63,21.76528,0

384,18.5,10719.7,2.08,21.31569,0

385,11.95,10731.65,1.74,20.81988,0

386,20.2,10751.85,2.26,20.62125,0

387,30.4,10782.25,2.09,20.69681,0

388,45.9,10828.15,2.99,21.10412,0

389,14.9,10843.05,1.24,20.72229,0

